epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.056,1.19325,1.37498,1.18887,0.57797,0.44358,0.46768,0.33009,1.16709,1.25586,1.13756,3.9508e-05,3.9508e-05,3.9508e-05
2,194.087,1.19788,1.39102,1.19446,0.58359,0.42377,0.4567,0.32118,1.18352,1.3022,1.14439,7.65619e-05,7.65619e-05,7.65619e-05
3,284.038,1.20808,1.38864,1.19658,0.56635,0.41467,0.43749,0.30343,1.2111,1.35153,1.17107,0.000110998,0.000110998,0.000110998
4,373.885,1.20781,1.38782,1.20318,0.59125,0.39488,0.42865,0.29638,1.21531,1.36668,1.17325,0.000107219,0.000107219,0.000107219
5,463.085,1.20163,1.35379,1.19889,0.59527,0.38905,0.42433,0.29443,1.22489,1.37907,1.17682,0.000103292,0.000103292,0.000103292
6,552.734,1.1987,1.32783,1.19055,0.5765,0.39151,0.42774,0.29725,1.22515,1.3732,1.1761,9.9365e-05,9.9365e-05,9.9365e-05
7,642.781,1.19096,1.30824,1.18648,0.57897,0.39347,0.4272,0.29436,1.22501,1.38184,1.1756,9.5438e-05,9.5438e-05,9.5438e-05
8,732.649,1.17642,1.29174,1.18169,0.55949,0.40605,0.43115,0.29649,1.23512,1.37372,1.18164,9.1511e-05,9.1511e-05,9.1511e-05
9,822.089,1.16603,1.26461,1.17237,0.5792,0.39449,0.42491,0.29463,1.2336,1.37088,1.18663,8.7584e-05,8.7584e-05,8.7584e-05
10,911.915,1.1592,1.24423,1.16841,0.5723,0.39594,0.42557,0.29271,1.23,1.38828,1.1774,8.3657e-05,8.3657e-05,8.3657e-05
11,1001.67,1.15893,1.23956,1.16684,0.53191,0.3933,0.42206,0.29062,1.22998,1.37788,1.1825,7.973e-05,7.973e-05,7.973e-05
12,1091.4,1.14756,1.20213,1.15896,0.5459,0.40744,0.42308,0.29262,1.23196,1.37503,1.18504,7.5803e-05,7.5803e-05,7.5803e-05
13,1180.94,1.14211,1.18467,1.15859,0.58756,0.38949,0.42719,0.29537,1.23364,1.3781,1.18661,7.1876e-05,7.1876e-05,7.1876e-05
14,1270.86,1.1431,1.18215,1.15607,0.57609,0.39917,0.42646,0.2946,1.2361,1.38932,1.18677,6.7949e-05,6.7949e-05,6.7949e-05
15,1360.82,1.13275,1.16077,1.14588,0.56708,0.40388,0.4273,0.29558,1.24404,1.37724,1.18733,6.4022e-05,6.4022e-05,6.4022e-05
16,1450.55,1.12437,1.14711,1.14737,0.57928,0.39284,0.42414,0.29234,1.244,1.37258,1.186,6.0095e-05,6.0095e-05,6.0095e-05
17,1540.01,1.12006,1.1304,1.14126,0.58504,0.39561,0.42944,0.29432,1.24435,1.37837,1.18861,5.6168e-05,5.6168e-05,5.6168e-05
18,1630,1.1192,1.12321,1.13416,0.57449,0.39828,0.42902,0.29553,1.24007,1.37598,1.1873,5.2241e-05,5.2241e-05,5.2241e-05
19,1720.22,1.11119,1.10884,1.13563,0.55763,0.39572,0.42843,0.29267,1.2383,1.38201,1.18801,4.8314e-05,4.8314e-05,4.8314e-05
20,1810.26,1.10486,1.09688,1.13505,0.55266,0.40688,0.42464,0.29228,1.2378,1.37459,1.18559,4.4387e-05,4.4387e-05,4.4387e-05
21,1907.44,1.10004,1.08941,1.12788,0.55594,0.39823,0.42197,0.29304,1.23464,1.38239,1.18334,4.046e-05,4.046e-05,4.046e-05
22,1997.38,1.09794,1.07476,1.12668,0.54923,0.4,0.4206,0.29155,1.2353,1.37717,1.18534,3.6533e-05,3.6533e-05,3.6533e-05
23,2088.04,1.08939,1.06385,1.12262,0.53753,0.40028,0.42406,0.29297,1.2367,1.3789,1.1813,3.2606e-05,3.2606e-05,3.2606e-05
24,2177.95,1.08112,1.05616,1.11726,0.53126,0.40897,0.42349,0.29319,1.2345,1.37728,1.18595,2.8679e-05,2.8679e-05,2.8679e-05
25,2267.44,1.08756,1.04794,1.12218,0.56621,0.38958,0.42425,0.2928,1.23437,1.38005,1.18361,2.4752e-05,2.4752e-05,2.4752e-05
26,2300.55,0,0,0,0.03196,0.02703,0.02848,0.02721,0.4375,0,0,2.0825e-05,2.0825e-05,2.0825e-05
27,2332.68,0,0,0,0.03196,0.02703,0.02848,0.02721,0.4375,0,0,1.6898e-05,1.6898e-05,1.6898e-05
28,2365.15,0,0,0,0.03196,0.02703,0.02848,0.02721,0.4375,0,0,1.2971e-05,1.2971e-05,1.2971e-05
29,2397.41,0,0,0,0.03196,0.02703,0.02848,0.02721,0.4375,0,0,9.044e-06,9.044e-06,9.044e-06
30,2429.71,0,0,0,0.03196,0.02703,0.02848,0.02721,0.4375,0,0,5.117e-06,5.117e-06,5.117e-06
