epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9313,1.19348,1.37561,1.18954,0.5838,0.43895,0.46698,0.3284,1.16782,1.25529,1.14147,3.9508e-05,3.9508e-05,3.9508e-05
2,50.5276,1.19623,1.39266,1.19673,0.6024,0.40902,0.45796,0.32181,1.18001,1.30333,1.15062,7.65619e-05,7.65619e-05,7.65619e-05
3,74.4048,1.20686,1.39313,1.19813,0.55211,0.41259,0.43419,0.30023,1.21555,1.36194,1.1741,0.000110998,0.000110998,0.000110998
4,97.9732,1.2099,1.38501,1.20355,0.57432,0.40702,0.42722,0.29574,1.21069,1.36793,1.16874,0.000107219,0.000107219,0.000107219
5,122.184,1.20217,1.35966,1.19872,0.54899,0.40075,0.42478,0.29578,1.218,1.37951,1.17579,0.000103292,0.000103292,0.000103292
6,147.552,1.19955,1.32938,1.19257,0.60389,0.38956,0.42999,0.29607,1.2314,1.37319,1.18801,9.9365e-05,9.9365e-05,9.9365e-05
7,172.734,1.19091,1.3114,1.18968,0.55864,0.40227,0.42753,0.29445,1.22241,1.38083,1.17518,9.5438e-05,9.5438e-05,9.5438e-05
8,196.493,1.17854,1.29167,1.18365,0.5595,0.40613,0.43282,0.2972,1.23102,1.37517,1.183,9.1511e-05,9.1511e-05,9.1511e-05
9,220.915,1.16653,1.26709,1.17507,0.53913,0.40298,0.42329,0.29059,1.23436,1.36528,1.18472,8.7584e-05,8.7584e-05,8.7584e-05
10,245.92,1.15707,1.24608,1.16859,0.54184,0.40621,0.4307,0.29613,1.22661,1.37319,1.17518,8.3657e-05,8.3657e-05,8.3657e-05
11,270.591,1.15991,1.23804,1.16772,0.52267,0.4184,0.42818,0.29502,1.22734,1.38536,1.17994,7.973e-05,7.973e-05,7.973e-05
12,295.431,1.14972,1.20363,1.16101,0.55286,0.4003,0.43153,0.29498,1.23233,1.38959,1.1822,7.5803e-05,7.5803e-05,7.5803e-05
13,319.605,1.14043,1.18263,1.15699,0.56335,0.40243,0.42971,0.29861,1.22704,1.37687,1.18446,7.1876e-05,7.1876e-05,7.1876e-05
14,343.211,1.14032,1.18011,1.15786,0.54946,0.40184,0.42822,0.29763,1.22785,1.38166,1.18153,6.7949e-05,6.7949e-05,6.7949e-05
15,366.788,1.13169,1.16088,1.14933,0.56567,0.40019,0.43076,0.29847,1.23978,1.38394,1.18661,6.4022e-05,6.4022e-05,6.4022e-05
16,391.287,1.12607,1.1455,1.14877,0.53816,0.40398,0.42414,0.29051,1.24554,1.37488,1.19126,6.0095e-05,6.0095e-05,6.0095e-05
17,414.47,1.12011,1.12799,1.14317,0.55716,0.40614,0.42729,0.29097,1.24214,1.38373,1.18953,5.6168e-05,5.6168e-05,5.6168e-05
18,439.019,1.12184,1.12083,1.13596,0.54389,0.40453,0.42629,0.29272,1.23236,1.38055,1.18178,5.2241e-05,5.2241e-05,5.2241e-05
19,464.239,1.11572,1.11059,1.13946,0.52167,0.41122,0.42761,0.2927,1.23283,1.3858,1.1818,4.8314e-05,4.8314e-05,4.8314e-05
20,489.366,1.10166,1.09774,1.13191,0.55749,0.40807,0.42746,0.2932,1.22993,1.3695,1.17929,4.4387e-05,4.4387e-05,4.4387e-05
21,523.813,1.10072,1.08923,1.12764,0.5663,0.4038,0.42809,0.29489,1.23226,1.38087,1.17978,4.046e-05,4.046e-05,4.046e-05
22,550.829,1.09766,1.07779,1.12684,0.55885,0.40413,0.42754,0.29411,1.2344,1.37828,1.18449,3.6533e-05,3.6533e-05,3.6533e-05
23,576.883,1.08975,1.067,1.12238,0.58029,0.3938,0.42905,0.29435,1.23565,1.37663,1.18179,3.2606e-05,3.2606e-05,3.2606e-05
24,603.035,1.0839,1.05675,1.1179,0.57707,0.39046,0.42489,0.29304,1.23445,1.38306,1.18449,2.8679e-05,2.8679e-05,2.8679e-05
25,629.546,1.08825,1.04904,1.12088,0.57622,0.38793,0.42458,0.29302,1.23497,1.38125,1.18372,2.4752e-05,2.4752e-05,2.4752e-05
26,656.865,1.081,1.0398,1.11734,0.5761,0.38858,0.42535,0.29265,1.23097,1.37847,1.17967,2.0825e-05,2.0825e-05,2.0825e-05
27,683.494,1.07696,1.02574,1.11178,0.56633,0.39506,0.42685,0.29366,1.23355,1.38273,1.18056,1.6898e-05,1.6898e-05,1.6898e-05
28,710.722,1.07724,1.02803,1.11149,0.56723,0.39641,0.42925,0.29547,1.22746,1.37758,1.18051,1.2971e-05,1.2971e-05,1.2971e-05
29,737.452,1.07294,1.02376,1.10821,0.56698,0.38995,0.42732,0.29403,1.22944,1.38027,1.18267,9.044e-06,9.044e-06,9.044e-06
30,764.202,1.06483,1.0145,1.10712,0.58243,0.38556,0.42891,0.29503,1.22955,1.37631,1.17911,5.117e-06,5.117e-06,5.117e-06
